出现时间(s),模式,字体大小,颜色,时间戳,弹幕池,用户ID,rowID,弹幕内容
7302.26500,5,25,16646914,1642759793,0,29ac2a7d,1744266224155540992,10,你一个人，抢了几万百姓的钱，杀死几任好官。这笔账要不要算？
3953.43600,5,25,15138834,1620025455,0,25a02aec,1744235206866419200,10,师爷又在装糊涂，明知道不是他们
5252.79900,5,25,16646914,1639758286,0,1f2f462d,1744263274595139072,10,这里大哥真的生气了，说：“让你们弄成这么烂七八糟的”你细品
7502.92900,5,25,16777215,1610711053,0,720b7a9a,1744226790106250752,10,我就是腿脚不利索跪不下去
508.26300,5,25,16776960,1587971322,0,10dedf5c,1744173106051726848,10,腾        讯
2194.39300,5,25,16777215,1608283718,0,813ac68c,1744225074459753984,10,我觉得是过分解读了，“还”是因为刚刚提到了长短刀的事
6660.95500,5,25,16777215,1628080539,0,41eb571f,1744246985218637317,10,这说明黄四郎已经深知民众的愚昧麻木
1754.38200,5,25,16707842,1631337974,0,a13d0e2,1744254113320844800,10,《好哥哥》，给弟弟最讨厌的角色
2208.53200,1,25,16777215,1614070195,0,91acd540,1744229536712670720,10,这场戏三个人都知根知底，但都要演的互相试探，绝了
5724.67900,5,25,16707842,1626523729,0,c8325c84,1744244715479416320,10,他什么也不是
7044.40500,5,25,9487136,1634818450,0,48b33caa,1744258014191336960,10,“有的时候，死人可得比活人好用。”
1937.98600,5,25,15138834,1585707815,0,de3ad7c3,1744171908426939904,10,注意看表情
621.37600,5,25,16707842,1629943913,0,205ebec9,1744251942483312128,10,捂 器 大 师
2677.96500,5,25,15138834,1640684042,0,43b29fe0,1744264178434096640,10,翻译翻译:就是要你的命！
5424.37500,5,25,15138834,1629867459,0,ed4a1ddd,1744251817065233923,10,身份证                                           你
7401.74800,5,25,16707842,1638536181,0,d6eaf092,1744262035505462784,10,那你自己说去吧，啪！
2183.98700,5,25,16646914,1630579534,0,3fc3a59f,1744253229488717312,10,老子要正大光明抢你钱
5196.43300,5,25,15138834,1640650841,0,60100141,1744264150349037057,10,为了肉的bicycle
7503.22700,5,25,16707842,1656396045,0,1f8fd2a4,1744277680662035968,10,我 就 是 腿 脚 不 利 索 跪 不 下 去！！！
2172.64700,5,25,16707842,1631709308,0,3cb47fbc,1744254552003100160,10,黄四郎说随便拿，还是把县长当成跪着要饭的
5549.90600,1,25,16777215,1644487080,0,d978fd1d,1744268226122006016,10,联合国现状
2339.86400,5,25,16707842,1642525410,0,23e5c0b,1744265969208966656,10,应该是黄贼喊捉贼把剩下那两批自己扣下了然后怪张麻子
2601.92100,5,25,9033215,1663504836,0,352a06bb,1744285105846795777,10,高手过招  招招致命
906.23000,5,25,16765698,1617715051,0,81bb01e5,1744232523937922560,10,《饭圈插旗拔旗 》，果然就是这么个套路，这电影不申遗说不过去
7514.68700,5,25,41194,1639816415,0,c8ed79aa,1744263320262721024,10,花姐只在乎发钱，，只在乎钱。。。。
2159.33400,5,25,15138834,1641490322,0,841cac2,1744265091508911616,10,马县长马县长就是装糊涂的天才～
6718.55200,5,25,16707842,1642617535,0,23e5c0b,1744266076474097152,10,老大开始打响不返还的反抗第一枪（打马车）
3731.90300,5,25,16776960,1641188014,0,56fe1140,1744264791876222464,10,老三是在袒护花姐吗？
6.95900,1,25,16777215,1585722809,0,3688cb9a,1744171931982151168,10,至少四刷了
7084.59700,5,25,16707842,1642619924,0,23e5c0b,1744266077916937728,10,敌人“死了”民众就不怕了，不管是真死还是假死
3189.84400,5,25,16646914,1644160160,0,a4f664df,1744267924350221824,10,全是感情 没有技巧
4912.79800,5,25,16777215,1642931674,0,40127a9a,1744266469413273088,10,吃 醋
1034.26500,5,25,16707842,1641761798,0,f16feae9,1744265320098479616,10,谁敢有冤呐？
2226.95000,5,25,15138834,1663989391,0,7da1be5d,1744285328396566016,10,翻译:我手底下有几百号人
2535.62200,5,25,16707842,1663388446,0,5e8f930a,1744285000234221056,10,注意，黄老爷下意识说的是“你们”，已经说漏嘴武举人和管家活着了
4074.05000,5,25,16646914,1666015994,0,5411f5d2,1744286525316709888,10,《这是制片人》姜文在电影节还特意感谢过他
7521.09400,5,25,16646914,1641262257,0,edd7d2ee,1744264893822975488,10,改主意（义）啦？
6738.75400,5,25,16707842,1597742136,0,f905b5d2,1744208562382487040,10,敢！杀！我！的！马！
4205.02300,5,25,16707842,1650289443,0,c943fce6,1744272183212948992,10,不，你来的正是时候（伸手）
3709.43100,1,25,16646914,1631018753,0,f2ee490a,1744253831388118529,10,师爷说得对，就该杀，这女人贼有问题
7523.19600,5,25,16707842,1645688814,0,9883692f,1744269034456661504,10,已经是既得利益者了
7591.50800,5,25,15138834,1664932077,0,9bca600f,1744285959345716736,10,注意看啊，这里小七其实并没有跟着他们一块走，还是有对老大忠心的
5678.60600,5,25,16776960,1649184848,0,320c4d46,1744271392242712066,10,《西  奈  鬼  火》
621.50700,5,25,16707842,1621747863,0,b0d232f9,1744237335442144768,10,调整蛋道
1864.07500,5,25,16707842,1643115759,0,80e3496f,1744266662644858368,10,虾 仁 还 要 猪 心 ，好 可 怕 啊 ！
3921.81900,1,25,16777215,1642043232,0,4031db93,1744265503507004928,10,其实这句话是在骂张麻子把他老婆抢了，所以叫窝边草hhhh
5088.89000,5,25,15138834,1647875403,0,eeb1aa7f,1744270340403543552,10,一颗是地雷，一颗还是地雷
7073.90000,5,25,15138834,1596872667,0,680557b7,1744204155586657792,10,社 会 性 死 亡
3918.98600,5,25,41194,1644661780,0,8ae804c2,1744268378979220992,10,因为老百姓知道县长是真的公平，所以敢去告状了
2319.25100,5,25,16777215,1643529255,0,f2b04fb9,1744267121442995712,10,翻译:你算老几啊？
603.92200,5,25,16776960,1641205804,0,1f2f462d,1744264837896125954,10,《夹带私货》
7044.40500,5,25,16707842,1634818427,0,48b33caa,1744258013302144513,10,“有的时候，死人可得比活人好用。”
731.49800,5,25,41194,1607343949,0,56d8376f,1744224344936070656,10,参考小品《拜登胜选》
6612.77400,5,25,16707842,1642616913,0,23e5c0b,1744266075643624960,10,把民众的怒勾出来了，开始发枪让民众反抗夺回被剥夺的东西
2955.28900,5,25,15138834,1641654435,0,a938f045,1744265209343688192,10,那个卖凉粉给黄四郎卖命，就是黄四郎的狗
7232.80400,5,25,16646914,1651395175,0,b07deb0,1744273162297720320,10,解放全球
5677.85700,5,25,16707842,1596464511,0,d5c9730,1744201447576223232,10,五  黑  头  像
3943.90700,5,25,16777215,1658733031,0,62dd0eae,1744279963101609472,10,《简  直  就  是  土  匪》
7533.16800,5,25,16646914,1596725983,0,15a56ae,1744203154070748672,10,二哥：“我TM谢谢你”
3268.23900,5,25,16707842,1641938896,0,db89a910,1744265446766460416,10,只有师爷受伤的世界
2827.37600,1,25,16777215,1643093364,0,eded4907,1744266620307553792,10,不愧是西厂的，一开口就是煽
2719.47500,5,25,16707842,1645977447,0,127c5acf,1744269248718487044,10,你俩搁这烧水呢
5595.75300,5,25,16707842,1638360821,0,9d1223a1,1744261881465454080,10,D    4    C
1302.51000,1,25,16777215,1649849249,0,1baaf815,1744271861576941056,10,北洋不必留了（灭了）
7258.89100,5,25,16707842,1647856534,0,eb957d95,1744270314398858752,10,这还没完，我还有一顶恶霸的帽子，一定会扣在你头上
851.72800,1,25,16777215,1643635506,0,aa918f77,1744267282042895872,10,姜文怎么挠人家嘎吱窝呢
7306.26500,5,25,15138834,1633531336,0,16280552,1744257015494000128,10,不是唐宋元明清！是孙袁直奉蒋
6672.70800,5,25,16707842,1643213754,0,a5620353,1744266735684468224,10,七成是人家的doge
739.95200,5,25,16707842,1642838114,0,a7a62ea9,1744266327486414336,10,霸气外露，找死
7463.42400,5,25,16776960,1647055243,0,42ab4f8b,1744269791360761345,10,自己老婆 能不喜欢吗(doge)
997.94400,5,25,16776960,1669559421,0,78f18c94,1744287995705474560,10,如果此时枪走火毙了老汤直接神作
3850.85600,5,25,16646914,1623239671,0,26fc8ab5,1744239485366877696,10,他不死 我睡不着
3938.67700,1,25,16777215,1663508660,0,c6596a23,1744285112566070784,10,李易峰：当时我就是看得《让子弹飞》听了师爷的话
2416.41200,5,25,16707842,1646070708,0,47e2b0a2,1744269294503509505,10,↓↓嚣张↓↓
5646.29900,5,25,16646914,1641347661,0,9255be8f,1744264960990559744,10,商人（奸商）想要权利，掌权的却想要钱
4809.60400,5,25,16776960,1634605742,0,a30fa1a4,1744257860059053570,10,双TM句
4182.04100,5,25,16776960,1648277299,0,ae4e923a,1744270574647033344,10,哲学♂六边形
404.85300,5,25,41194,1643201481,0,e7b279e3,1744266728705146368,10,有时候死人比活人更有用
5359.31100,1,25,16777215,1629878990,0,20d6405e,1744251844101717504,10,死因：耍猴
4435.10500,1,25,16777215,1646892512,0,b28c8f2c,1744269705604021760,10,你可不要变成小凤仙啊（大雾）
